ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
170.64.170.204,1080,AU,Australia,Sydney,,,,,SOCKS5,Elite,96,1880,2026-04-07T07:31:56Z
103.169.142.37,80,AU,Australia,,,,,,HTTP,Transparent,54,40,2026-04-07T06:36:01Z
103.169.142.51,80,AU,Australia,,,,,,HTTP,Transparent,52,60,2026-04-07T05:49:07Z
139.99.237.62,80,AU,Australia,Sydney,,,,,HTTP,Elite,69,1220,2026-04-07T01:20:18Z
103.169.142.66,80,AU,Australia,,,,,,HTTP,Transparent,57,20,2026-04-07T00:45:12Z
103.169.142.188,80,AU,Australia,,,,,,HTTP,Transparent,63,20,2026-04-06T22:42:35Z
103.169.142.0,80,AU,Australia,,,,,,HTTP,Transparent,69,20,2026-04-06T22:41:32Z
4.195.16.140,80,AU,Australia,Sydney,,,,,HTTP,Elite,88,1160,2026-04-06T07:26:59Z
103.169.142.57,80,AU,Australia,,,,,,HTTP,Transparent,57,20,2026-04-06T03:26:10Z
203.23.238.21,80,AU,Australia,Canberra,,,,,HTTP,Anonymous,44,1340,2026-04-06T00:11:45Z
103.169.142.218,80,AU,Australia,,,,,,HTTP,Transparent,52,20,2026-04-05T13:43:26Z
