ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
185.18.250.181,80,CH,Switzerland,,,,,,HTTP,Transparent,43,20,2026-04-07T08:00:25Z
16.63.207.85,80,CH,Switzerland,Zurich,,,,,HTTP,Anonymous,86,220,2026-04-07T07:37:21Z
217.162.8.134,80,CH,Switzerland,Wolhusen,,,,,HTTP,Elite,38,3580,2026-04-07T07:33:38Z
185.18.250.189,80,CH,Switzerland,,,,,,HTTP,Transparent,57,20,2026-04-07T07:23:05Z
185.18.250.107,80,CH,Switzerland,,,,,,HTTP,Transparent,83,20,2026-04-07T07:19:27Z
185.18.250.135,80,CH,Switzerland,,,,,,HTTP,Transparent,59,20,2026-04-07T04:42:30Z
185.18.250.156,80,CH,Switzerland,,,,,,HTTP,Transparent,83,20,2026-04-07T04:03:49Z
185.18.250.49,80,CH,Switzerland,,,,,,HTTP,Transparent,53,20,2026-04-07T03:41:10Z
185.18.250.22,80,CH,Switzerland,,,,,,HTTP,Transparent,52,20,2026-04-07T02:55:39Z
185.18.250.201,80,CH,Switzerland,,,,,,HTTP,Transparent,83,20,2026-04-07T01:05:52Z
185.18.250.253,80,CH,Switzerland,,,,,,HTTP,Transparent,51,20,2026-04-07T00:35:44Z
185.18.250.32,80,CH,Switzerland,,,,,,HTTP,Transparent,58,20,2026-04-06T22:21:43Z
185.18.250.177,80,CH,Switzerland,,,,,,HTTP,Transparent,83,20,2026-04-06T21:29:56Z
185.18.250.20,80,CH,Switzerland,,,,,,HTTP,Transparent,56,40,2026-04-06T20:49:14Z
185.18.250.174,80,CH,Switzerland,,,,,,HTTP,Transparent,83,20,2026-04-06T20:33:26Z
185.18.250.75,80,CH,Switzerland,,,,,,HTTP,Transparent,86,20,2026-04-06T19:04:22Z
185.18.250.180,80,CH,Switzerland,,,,,,HTTP,Transparent,51,40,2026-04-06T18:18:03Z
185.18.250.158,80,CH,Switzerland,,,,,,HTTP,Transparent,83,20,2026-04-06T18:14:12Z
185.18.250.10,80,CH,Switzerland,,,,,,HTTP,Transparent,58,20,2026-04-06T17:45:30Z
185.18.250.64,80,CH,Switzerland,,,,,,HTTP,Transparent,52,20,2026-04-06T16:26:40Z
185.18.250.143,80,CH,Switzerland,,,,,,HTTP,Transparent,83,20,2026-04-06T13:56:07Z
185.18.250.173,80,CH,Switzerland,,,,,,HTTP,Transparent,58,40,2026-04-06T13:25:07Z
185.18.250.172,80,CH,Switzerland,,,,,,HTTP,Transparent,58,20,2026-04-06T12:52:38Z
185.18.250.57,80,CH,Switzerland,,,,,,HTTP,Transparent,57,20,2026-04-06T12:12:52Z
185.18.250.106,80,CH,Switzerland,,,,,,HTTP,Transparent,83,20,2026-04-06T07:45:28Z
45.92.108.112,80,CH,Switzerland,,,,,,HTTP,Elite,35,340,2026-04-06T07:28:33Z
185.18.250.83,80,CH,Switzerland,,,,,,HTTP,Transparent,48,20,2026-04-06T06:51:04Z
185.18.250.119,80,CH,Switzerland,,,,,,HTTP,Transparent,83,40,2026-04-06T06:19:39Z
185.18.250.186,80,CH,Switzerland,,,,,,HTTP,Transparent,54,20,2026-04-06T01:32:18Z
185.18.250.31,80,CH,Switzerland,,,,,,HTTP,Transparent,86,20,2026-04-06T00:56:15Z
185.18.250.34,80,CH,Switzerland,,,,,,HTTP,Transparent,58,20,2026-04-05T15:29:35Z
