ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
218.75.102.198,8000,CN,China,Hangzhou,,,,,HTTP,Elite,48,1340,2026-04-07T08:08:39Z
183.162.197.197,8060,CN,China,Lu'an,,,,,HTTP,Elite,21,2420,2026-04-07T08:06:58Z
58.216.109.13,800,CN,China,,,,,,HTTP,Elite,97,1180,2026-04-07T07:38:54Z
218.77.183.214,5224,CN,China,,,,,,HTTP,Transparent,83,1420,2026-04-07T07:33:49Z
58.241.88.8,800,CN,China,,,,,,HTTP,Elite,98,1020,2026-04-07T07:33:38Z
101.43.127.100,8877,CN,China,Shanghai,,,,,SOCKS5,Elite,74,1600,2026-04-07T07:33:27Z
103.213.97.78,80,CN,China,,,,,,HTTP,Transparent,89,1140,2026-04-07T07:31:58Z
58.216.109.7,800,CN,China,,,,,,HTTP,Elite,97,4580,2026-04-07T07:29:20Z
222.66.69.78,23344,CN,China,,,,,,HTTP,Transparent,63,2100,2026-04-07T07:29:13Z
58.216.109.8,800,CN,China,,,,,,HTTP,Elite,96,1140,2026-04-07T07:27:42Z
58.241.88.7,800,CN,China,,,,,,HTTP,Elite,98,1040,2026-04-07T07:27:09Z
58.241.88.13,800,CN,China,,,,,,HTTP,Elite,98,1060,2026-04-07T07:26:05Z
221.231.13.198,1080,CN,China,,,,,,HTTP,Elite,77,2900,2026-04-07T07:25:34Z
58.216.109.17,800,CN,China,,,,,,HTTP,Elite,93,1220,2026-04-07T07:25:12Z
58.241.88.17,800,CN,China,,,,,,HTTP,Elite,99,2020,2026-04-07T07:25:00Z
58.241.88.18,800,CN,China,,,,,,HTTP,Elite,87,1060,2026-04-07T07:23:44Z
58.216.109.18,800,CN,China,,,,,,HTTP,Elite,85,1220,2026-04-07T05:29:37Z
124.221.164.32,7890,CN,China,Shanghai,,,,,SOCKS5,Elite,12,2720,2026-04-07T05:27:14Z
115.231.181.40,8128,CN,China,,,,,,HTTP,Transparent,51,3700,2026-04-07T04:26:04Z
106.13.58.110,8888,CN,China,,,,,,SOCKS4|SOCKS5,Elite,52,1320,2026-04-07T03:13:27Z
120.92.212.16,8890,CN,China,,,,,,HTTP,Elite,76,1160,2026-04-07T01:24:07Z
115.190.91.223,7897,CN,China,,,,,,HTTP,Elite,27,3980,2026-04-07T00:56:22Z
59.46.216.131,30001,CN,China,,,,,,HTTP,Elite,75,2460,2026-04-06T19:45:35Z
203.19.38.114,1080,CN,China,,,,,,HTTP,Elite,59,920,2026-04-06T09:40:44Z
111.79.111.126,3128,CN,China,,,,,,HTTP,Transparent,46,5100,2026-04-06T07:12:53Z
106.13.46.252,33302,CN,China,,,,,,SOCKS4,Elite,58,4340,2026-04-06T05:22:44Z
171.217.69.113,10800,CN,China,Chengdu,,,,,SOCKS4,Elite,17,5020,2026-04-06T05:22:44Z
140.246.125.194,9099,CN,China,,,,,,HTTPS,Elite,21,5100,2026-04-06T05:11:54Z
120.92.212.16,7890,CN,China,,,,,,HTTP,Elite,73,1160,2026-04-05T22:05:19Z
222.213.85.99,9002,CN,China,,,,,,HTTP,Elite,35,2320,2026-04-05T20:45:28Z
