ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
188.114.96.0,80,CO,Colombia,Medell?n,,,,,HTTP,Transparent,91,120,2026-04-07T07:45:04Z
190.242.59.158,4145,CO,Colombia,Medell?n,,,,,SOCKS4,Elite,14,1880,2026-04-07T07:45:00Z
38.191.42.201,999,CO,Colombia,C?cuta,,,,,HTTP,Transparent,5,920,2026-04-07T05:32:30Z
45.167.126.42,999,CO,Colombia,Popay?n,,,,,HTTP,Transparent,11,5100,2026-04-07T02:39:34Z
201.184.128.170,8080,CO,Colombia,Medell?n,,,,,HTTP,Transparent,6,5100,2026-04-06T17:58:31Z
188.114.96.20,80,CO,Colombia,Medell?n,,,,,HTTP,Transparent,91,60,2026-04-06T17:40:03Z
38.224.21.1,999,CO,Colombia,,,,,,HTTP,Transparent,23,5100,2026-04-06T17:20:52Z
188.114.98.138,80,CO,Colombia,Medell?n,,,,,HTTP,Transparent,90,80,2026-04-06T09:05:31Z
188.114.97.7,80,CO,Colombia,Medell?n,,,,,HTTP,Transparent,90,60,2026-04-06T09:01:31Z
181.129.74.58,30431,CO,Colombia,Medell?n,,,,,SOCKS4,Elite,15,1100,2026-04-06T05:22:49Z
181.119.84.220,8080,CO,Colombia,Bogot?,,,,,HTTP,Transparent,6,5100,2026-04-06T03:01:27Z
181.129.183.19,53281,CO,Colombia,Bucaramanga,,,,,HTTP,Elite,6,4740,2026-04-06T01:51:54Z
