ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
190.93.247.0,80,CR,Costa Rica,,,,,,HTTP,Transparent,90,80,2026-04-07T07:45:37Z
190.93.246.211,80,CR,Costa Rica,,,,,,HTTP,Transparent,87,80,2026-04-07T07:38:45Z
190.93.246.184,80,CR,Costa Rica,,,,,,HTTP,Transparent,88,80,2026-04-07T07:38:02Z
190.93.246.137,80,CR,Costa Rica,,,,,,HTTP,Transparent,88,60,2026-04-07T07:33:00Z
190.93.247.124,80,CR,Costa Rica,,,,,,HTTP,Transparent,90,160,2026-04-07T07:28:59Z
190.93.247.3,80,CR,Costa Rica,,,,,,HTTP,Transparent,93,60,2026-04-07T07:25:27Z
190.93.247.2,80,CR,Costa Rica,,,,,,HTTP,Transparent,94,140,2026-04-07T07:02:01Z
190.93.246.148,80,CR,Costa Rica,,,,,,HTTP,Transparent,89,60,2026-04-07T06:59:05Z
190.93.247.25,80,CR,Costa Rica,,,,,,HTTP,Transparent,94,60,2026-04-07T05:28:56Z
190.93.246.254,80,CR,Costa Rica,,,,,,HTTP,Transparent,88,60,2026-04-07T04:53:09Z
190.93.246.246,80,CR,Costa Rica,,,,,,HTTP,Transparent,87,180,2026-04-07T00:58:54Z
190.93.247.196,80,CR,Costa Rica,,,,,,HTTP,Transparent,88,60,2026-04-07T00:49:57Z
190.93.246.9,80,CR,Costa Rica,,,,,,HTTP,Transparent,92,60,2026-04-07T00:19:30Z
190.93.246.247,80,CR,Costa Rica,,,,,,HTTP,Transparent,89,60,2026-04-06T22:22:36Z
190.93.246.26,80,CR,Costa Rica,,,,,,HTTP,Transparent,94,120,2026-04-06T21:54:09Z
190.93.247.67,80,CR,Costa Rica,,,,,,HTTP,Transparent,89,100,2026-04-06T21:29:56Z
190.93.247.5,80,CR,Costa Rica,,,,,,HTTP,Transparent,93,80,2026-04-06T21:19:26Z
190.93.247.9,80,CR,Costa Rica,,,,,,HTTP,Transparent,92,140,2026-04-06T21:17:18Z
190.93.247.247,80,CR,Costa Rica,,,,,,HTTP,Transparent,88,60,2026-04-06T17:33:43Z
190.93.247.8,80,CR,Costa Rica,,,,,,HTTP,Transparent,80,100,2026-04-06T11:25:52Z
190.93.247.166,80,CR,Costa Rica,,,,,,HTTP,Transparent,88,100,2026-04-06T09:01:53Z
190.93.247.58,80,CR,Costa Rica,,,,,,HTTP,Transparent,94,60,2026-04-06T04:12:46Z
190.93.246.202,80,CR,Costa Rica,,,,,,HTTP,Transparent,88,80,2026-04-06T01:36:44Z
190.93.246.210,80,CR,Costa Rica,,,,,,HTTP,Transparent,90,60,2026-04-06T01:31:47Z
190.52.110.43,999,CR,Costa Rica,Cartago,,,,,HTTP,Transparent,9,4980,2026-04-05T19:38:08Z
