ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
195.85.23.117,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-05T06:12:03Z
195.85.23.121,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-05T06:12:03Z
195.85.23.15,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-05T06:12:03Z
195.85.23.144,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-05T06:12:03Z
195.85.23.20,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-05T06:12:03Z
195.85.23.200,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-05T06:12:03Z
195.85.23.51,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-05T06:12:03Z
195.85.23.70,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-05T06:11:02Z
195.85.23.213,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-05T06:11:02Z
195.85.23.99,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-05T06:11:02Z
195.85.23.16,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-05T06:11:02Z
195.85.23.148,80,CZ,Czech Republic,,,,,,HTTP,Anonymous,100,20,2026-07-05T06:11:02Z
