ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
89.58.55.33,80,DE,Germany,Nuremberg,,,,,HTTP,Elite,70,200,2026-04-07T07:34:39Z
213.157.6.50,80,DE,Germany,R?dermark,,,,,HTTP,Elite,81,160,2026-04-07T07:31:25Z
80.74.54.148,3128,DE,Germany,Wachtendonk,,,,,HTTP,Anonymous,53,1140,2026-04-07T07:31:12Z
147.161.239.240,8800,DE,Germany,Frankfurt am Main,,,,,HTTP,Elite,92,180,2026-04-07T07:27:36Z
5.61.41.21,9051,DE,Germany,,,,,,SOCKS5,Elite,17,540,2026-04-07T05:07:47Z
72.56.106.186,1080,DE,Germany,Frankfurt am Main,,,,,SOCKS4,Elite,33,280,2026-04-07T03:42:16Z
45.80.111.113,80,DE,Germany,,,,,,HTTP,Transparent,56,20,2026-04-07T03:11:35Z
45.80.111.5,80,DE,Germany,,,,,,HTTP,Transparent,57,40,2026-04-07T02:50:26Z
45.80.111.91,80,DE,Germany,,,,,,HTTP,Transparent,50,40,2026-04-06T23:17:09Z
45.80.111.247,80,DE,Germany,,,,,,HTTP,Transparent,73,20,2026-04-06T20:45:16Z
128.140.113.110,8081,DE,Germany,Falkenstein,,,,,HTTP,Elite,46,220,2026-04-06T20:00:58Z
45.80.111.102,80,DE,Germany,,,,,,HTTP,Transparent,70,20,2026-04-06T14:49:17Z
95.179.255.75,1080,DE,Germany,Frankfurt am Main,,,,,SOCKS5,Elite,45,220,2026-04-06T14:02:09Z
141.147.9.254,80,DE,Germany,Frankfurt am Main,,,,,HTTP,Anonymous,21,3640,2026-04-06T08:17:53Z
31.220.78.244,80,DE,Germany,D?sseldorf,,,,,HTTP,Elite,33,960,2026-04-06T07:27:07Z
46.249.100.124,80,DE,Germany,Frankfurt am Main,,,,,HTTP,Elite,59,180,2026-04-06T06:42:11Z
185.227.111.145,1080,DE,Germany,Frankfurt am Main,,,,,SOCKS4,Elite,48,420,2026-04-06T05:22:43Z
47.91.65.23,3128,DE,Germany,Frankfurt am Main,,,,,HTTP,Transparent,49,380,2026-04-06T01:54:54Z
