ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
45.80.110.185,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.108.13,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.110.146,80,EE,Estonia,,,,,,HTTP,Anonymous,99,20,2026-09-06T07:02:05Z
45.80.108.183,80,EE,Estonia,,,,,,HTTP,Anonymous,99,20,2026-09-06T07:02:05Z
45.80.110.117,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.110.238,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.108.196,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.110.160,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.110.8,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.110.248,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.108.238,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.110.21,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.108.92,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.110.129,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.110.15,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.110.137,80,EE,Estonia,,,,,,HTTP,Anonymous,100,40,2026-09-06T07:02:05Z
45.80.110.51,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.110.66,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:05Z
45.80.108.224,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.110.156,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.110.187,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.108.45,80,EE,Estonia,,,,,,HTTP,Anonymous,99,20,2026-09-06T07:02:03Z
45.80.110.121,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.110.150,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.110.44,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.110.97,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.110.237,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.110.134,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.108.198,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.108.44,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.108.218,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.108.29,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.108.160,80,EE,Estonia,,,,,,HTTP,Anonymous,99,20,2026-09-06T07:02:03Z
45.80.110.218,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.110.240,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.108.174,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.110.65,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.108.52,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.110.55,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
45.80.108.252,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:03Z
194.152.44.250,80,EE,Estonia,,,,,,HTTP,Anonymous,87,20,2026-09-06T07:02:02Z
45.80.108.131,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:02Z
45.80.110.26,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:02Z
45.80.108.37,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:02Z
45.80.108.242,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:02Z
45.80.108.66,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:02Z
45.80.110.69,80,EE,Estonia,,,,,,HTTP,Anonymous,100,20,2026-09-06T07:02:02Z
