ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
173.245.49.147,80,FR,France,Paris,,,,,HTTP,Anonymous,88,20,2026-08-19T03:06:05Z
173.245.49.98,80,FR,France,Paris,,,,,HTTP,Anonymous,92,20,2026-08-19T03:06:05Z
173.245.49.21,80,FR,France,Paris,,,,,HTTP,Anonymous,93,20,2026-08-19T03:06:05Z
173.245.49.229,80,FR,France,Paris,,,,,HTTP,Anonymous,88,20,2026-08-19T03:06:04Z
173.245.49.248,80,FR,France,Paris,,,,,HTTP,Anonymous,88,20,2026-08-19T03:06:04Z
173.245.49.76,80,FR,France,Paris,,,,,HTTP,Anonymous,92,20,2026-08-19T03:06:04Z
173.245.49.217,80,FR,France,Paris,,,,,HTTP,Anonymous,88,20,2026-08-19T03:06:04Z
173.245.49.230,80,FR,France,Paris,,,,,HTTP,Anonymous,89,20,2026-08-19T03:06:04Z
173.245.49.113,80,FR,France,Paris,,,,,HTTP,Anonymous,92,20,2026-08-19T03:06:04Z
173.245.49.142,80,FR,France,Paris,,,,,HTTP,Anonymous,89,20,2026-08-19T03:06:04Z
173.245.49.14,80,FR,France,Paris,,,,,HTTP,Anonymous,93,20,2026-08-19T03:06:04Z
173.245.49.116,80,FR,France,Paris,,,,,HTTP,Anonymous,91,20,2026-08-19T03:06:04Z
173.245.49.240,80,FR,France,Paris,,,,,HTTP,Anonymous,89,20,2026-08-19T03:06:03Z
173.245.49.42,80,FR,France,Paris,,,,,HTTP,Anonymous,92,20,2026-08-19T03:05:05Z
