ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
185.170.166.24,80,GB,United Kingdom,,,,,,HTTP,Anonymous,88,20,2026-08-19T03:06:05Z
91.193.58.234,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-19T03:06:05Z
91.193.58.35,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-19T03:06:04Z
91.193.58.209,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-19T03:06:04Z
194.36.55.12,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-19T03:06:04Z
185.193.28.169,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-19T03:06:04Z
185.193.31.80,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-19T03:06:04Z
185.193.28.157,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,40,2026-08-19T03:06:04Z
91.193.58.218,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-19T03:06:04Z
91.193.59.93,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-19T03:06:03Z
