ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
16.78.119.130,443,ID,Indonesia,Jakarta,,,,,HTTP,Elite,90,780,2026-04-07T07:35:07Z
150.107.140.238,3128,ID,Indonesia,,,,,,HTTP,Anonymous,26,4120,2026-04-07T07:07:53Z
103.177.177.250,8080,ID,Indonesia,,,,,,HTTP,Transparent,8,860,2026-04-07T01:50:47Z
27.124.81.146,8080,ID,Indonesia,Semarang,,,,,HTTP,Transparent,10,1920,2026-04-06T21:43:41Z
103.133.26.119,8080,ID,Indonesia,Purwakarta,,,,,HTTP,Anonymous,4,5100,2026-04-06T19:41:04Z
103.181.255.105,8080,ID,Indonesia,,,,,,HTTP,Transparent,21,3480,2026-04-06T19:26:53Z
103.189.254.18,8080,ID,Indonesia,Surabaya,,,,,HTTP,Transparent,3,3280,2026-04-06T19:24:32Z
103.247.23.201,8080,ID,Indonesia,Ngawi,,,,,HTTP,Transparent,5,4360,2026-04-06T18:40:17Z
114.4.200.222,5678,ID,Indonesia,Jakarta,,,,,SOCKS4,Elite,9,2080,2026-04-06T17:36:11Z
223.25.109.146,8199,ID,Indonesia,,,,,,SOCKS5,Elite,20,1460,2026-04-06T10:52:39Z
223.25.109.163,8199,ID,Indonesia,,,,,,SOCKS5,Elite,14,1460,2026-04-06T10:52:27Z
160.22.200.60,69,ID,Indonesia,,,,,,SOCKS5,Elite,86,1240,2026-04-06T02:19:31Z
103.151.20.131,80,ID,Indonesia,,,,,,HTTP,Elite,30,1040,2026-04-06T01:04:09Z
117.102.101.52,5678,ID,Indonesia,Jakarta,,,,,SOCKS4,Elite,16,2100,2026-04-05T19:15:11Z
163.227.248.17,8181,ID,Indonesia,Sukabumi,,,,,HTTP,Transparent,67,3480,2026-04-05T12:40:58Z
139.255.86.226,5678,ID,Indonesia,Bandung,,,,,SOCKS4,Elite,10,1100,2026-04-05T12:19:17Z
