ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
103.97.94.22,4153,IN,India,,,,,,SOCKS4,Elite,11,960,2026-04-07T07:53:50Z
27.34.242.98,80,IN,India,Bengaluru,,,,,HTTP,Anonymous,85,1020,2026-04-07T07:30:49Z
167.103.34.108,8800,IN,India,Chennai,,,,,HTTP,Elite,91,800,2026-04-07T05:19:07Z
167.103.31.122,8800,IN,India,New Delhi,,,,,HTTP,Elite,92,1620,2026-04-06T21:11:33Z
103.69.243.162,4153,IN,India,Mumbai,,,,,SOCKS4,Elite,12,1000,2026-04-06T20:31:42Z
116.212.182.74,8081,IN,India,,,,,,HTTP,Transparent,7,3680,2026-04-06T19:16:03Z
103.163.244.108,83,IN,India,Panipat,,,,,HTTP,Transparent,8,2300,2026-04-06T18:33:12Z
4.213.167.178,80,IN,India,Pune,,,,,HTTP,Anonymous,87,940,2026-04-06T14:56:41Z
103.106.195.150,1080,IN,India,,,,,,SOCKS4,Elite,12,5100,2026-04-06T05:22:52Z
168.222.254.136,8888,IN,India,Noida,,,,,HTTP,Elite,52,220,2026-04-06T03:52:58Z
103.41.33.169,51951,IN,India,Mumbai,,,,,SOCKS4,Elite,14,900,2026-04-05T19:15:07Z
103.123.235.114,8080,IN,India,Mumbai,,,,,HTTP,Transparent,7,5000,2026-04-05T16:14:06Z
4.213.98.253,80,IN,India,Pune,,,,,HTTP,Anonymous,87,820,2026-04-05T10:23:58Z
