ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
116.80.65.82,3172,JP,Japan,Yokohama,,,,,HTTP,Transparent,38,4220,2026-04-07T08:07:02Z
116.80.64.158,7777,JP,Japan,Yokohama,,,,,HTTP,Transparent,16,2160,2026-04-07T08:06:58Z
147.161.210.140,8800,JP,Japan,Tokyo,,,,,HTTP,Elite,98,1080,2026-04-07T07:50:29Z
45.146.163.31,80,JP,Japan,Tokyo,,,,,HTTP,Elite,84,1160,2026-04-07T07:33:48Z
103.75.118.84,1080,JP,Japan,Tokyo,,,,,SOCKS4|SOCKS5,Elite,80,4740,2026-04-07T07:29:11Z
101.36.104.46,10808,JP,Japan,Tokyo,,,,,SOCKS5,Elite,46,1580,2026-04-07T07:23:43Z
13.230.34.30,80,JP,Japan,Tokyo,,,,,HTTP,Anonymous,95,1180,2026-04-07T07:23:40Z
48.210.225.96,80,JP,Japan,Tokyo,,,,,HTTP,Anonymous,85,940,2026-04-07T07:05:21Z
8.209.255.13,3128,JP,Japan,Tokyo,,,,,HTTP,Transparent,43,2320,2026-04-07T07:03:27Z
154.92.9.3,80,JP,Japan,Tokyo,,,,,HTTP,Transparent,82,20,2026-04-07T06:21:20Z
133.18.234.13,80,JP,Japan,,,,,,HTTP,Elite,85,4060,2026-04-07T05:27:05Z
101.36.104.239,10808,JP,Japan,Tokyo,,,,,SOCKS5,Elite,43,2660,2026-04-07T03:22:13Z
116.80.64.157,7777,JP,Japan,Yokohama,,,,,HTTP,Transparent,17,4160,2026-04-06T23:05:42Z
140.227.61.201,3128,JP,Japan,Nerima City,,,,,HTTP,Transparent,9,2160,2026-04-06T22:34:57Z
116.80.96.101,3172,JP,Japan,Yokohama,,,,,HTTP,Transparent,12,2260,2026-04-06T21:24:19Z
116.80.65.83,3172,JP,Japan,Yokohama,,,,,HTTP,Transparent,39,2160,2026-04-06T21:18:02Z
116.80.96.100,3172,JP,Japan,Yokohama,,,,,HTTP,Transparent,21,4200,2026-04-06T19:57:26Z
116.80.64.44,7777,JP,Japan,Yokohama,,,,,HTTP,Transparent,17,1900,2026-04-06T19:52:35Z
202.35.251.72,8080,JP,Japan,,,,,,HTTP,Transparent,2,3840,2026-04-06T19:39:29Z
116.80.49.163,3172,JP,Japan,Yokohama,,,,,HTTP,Transparent,22,4140,2026-04-06T19:16:28Z
116.80.82.232,3172,JP,Japan,Yokohama,,,,,HTTP,Transparent,25,4160,2026-04-06T18:22:03Z
116.80.48.16,7777,JP,Japan,Yokohama,,,,,HTTP,Transparent,17,4240,2026-04-06T17:59:58Z
116.80.96.103,3172,JP,Japan,Yokohama,,,,,HTTP,Transparent,25,4180,2026-04-06T17:58:23Z
116.80.65.78,3172,JP,Japan,Yokohama,,,,,HTTP,Transparent,31,2120,2026-04-06T17:58:08Z
116.80.60.44,7777,JP,Japan,Yokohama,,,,,HTTP,Transparent,14,4180,2026-04-06T17:58:08Z
116.80.96.95,3172,JP,Japan,Yokohama,,,,,HTTP,Transparent,21,2120,2026-04-06T17:58:06Z
156.246.90.81,80,JP,Japan,Tokyo,,,,,HTTP,Elite,57,5100,2026-04-06T16:36:46Z
116.80.63.64,7777,JP,Japan,Yokohama,,,,,HTTP,Transparent,26,2140,2026-04-06T15:16:39Z
116.80.63.67,7777,JP,Japan,Yokohama,,,,,HTTP,Transparent,14,3160,2026-04-06T14:58:12Z
116.80.63.46,7777,JP,Japan,Yokohama,,,,,HTTP,Transparent,17,3560,2026-04-06T14:56:59Z
5.104.87.17,8050,JP,Japan,Tokyo,,,,,HTTP,Transparent,68,2000,2026-04-06T09:02:34Z
74.176.195.135,80,JP,Japan,Tokyo,,,,,HTTP,Anonymous,86,960,2026-04-06T05:47:10Z
20.78.118.91,8561,JP,Japan,Tokyo,,,,,HTTP,Anonymous,14,920,2026-04-06T02:45:57Z
160.248.7.177,80,JP,Japan,Tokiwa,,,,,HTTP,Elite,21,2140,2026-04-06T02:09:42Z
116.80.64.41,7777,JP,Japan,Yokohama,,,,,HTTP,Transparent,14,4220,2026-04-05T14:10:23Z
