ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
45.131.6.5,80,NL,Netherlands,,,,,,HTTP,Anonymous,87,20,2026-07-14T05:02:05Z
45.131.4.129,80,NL,Netherlands,,,,,,HTTP,Anonymous,87,20,2026-07-14T05:02:05Z
160.153.0.32,80,NL,Netherlands,Amsterdam,,,,,HTTP,Anonymous,87,20,2026-07-14T05:02:04Z
45.131.7.121,80,NL,Netherlands,,,,,,HTTP,Anonymous,87,20,2026-07-14T05:02:04Z
45.131.5.145,80,NL,Netherlands,,,,,,HTTP,Anonymous,85,20,2026-07-14T05:02:03Z
45.131.208.161,80,NL,Netherlands,,,,,,HTTP,Anonymous,64,20,2026-07-14T05:02:02Z
45.131.6.0,80,NL,Netherlands,,,,,,HTTP,Anonymous,86,20,2026-07-14T05:02:02Z
45.131.208.89,80,NL,Netherlands,,,,,,HTTP,Anonymous,87,20,2026-07-14T05:01:05Z
45.131.5.237,80,NL,Netherlands,,,,,,HTTP,Anonymous,87,20,2026-07-14T05:01:05Z
45.131.5.15,80,NL,Netherlands,,,,,,HTTP,Anonymous,85,20,2026-07-14T05:01:05Z
