ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
45.12.30.250,80,RO,Romania,,,,,,HTTP,Anonymous,91,20,2026-07-29T05:26:04Z
45.12.31.103,80,RO,Romania,,,,,,HTTP,Anonymous,91,0,2026-07-29T05:26:04Z
45.12.31.11,80,RO,Romania,,,,,,HTTP,Anonymous,91,0,2026-07-29T05:26:04Z
45.85.118.212,80,RO,Romania,,,,,,HTTP,Anonymous,100,0,2026-07-29T05:26:04Z
45.12.31.171,80,RO,Romania,,,,,,HTTP,Anonymous,91,20,2026-07-29T05:26:03Z
45.12.31.23,80,RO,Romania,,,,,,HTTP,Anonymous,91,20,2026-07-29T05:26:03Z
45.12.31.28,80,RO,Romania,,,,,,HTTP,Anonymous,91,20,2026-07-29T05:26:02Z
45.12.30.38,80,RO,Romania,,,,,,HTTP,Anonymous,91,20,2026-07-29T05:26:02Z
45.12.30.127,80,RO,Romania,,,,,,HTTP,Anonymous,91,0,2026-07-29T05:26:02Z
45.12.30.133,80,RO,Romania,,,,,,HTTP,Anonymous,91,0,2026-07-29T05:26:02Z
45.12.30.155,80,RO,Romania,,,,,,HTTP,Anonymous,91,0,2026-07-29T05:26:02Z
45.85.118.87,80,RO,Romania,,,,,,HTTP,Anonymous,100,0,2026-07-29T05:26:02Z
