ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
45.8.211.110,80,RU,Russian Federation,,,,,,HTTP,Transparent,87,20,2026-04-07T07:45:37Z
194.53.53.57,80,RU,Russian Federation,,,,,,HTTP,Transparent,51,20,2026-04-07T07:39:06Z
185.180.230.211,9999,RU,Russian Federation,Moscow,,,,,SOCKS5,Elite,68,20,2026-04-07T07:36:28Z
195.245.238.86,1080,RU,Russian Federation,Moscow,,,,,SOCKS5,Elite,29,420,2026-04-07T07:36:28Z
62.113.119.14,8080,RU,Russian Federation,Moscow,,,,,HTTPS,Elite,8,5100,2026-04-07T07:35:00Z
158.160.215.167,8123,RU,Russian Federation,Moscow,,,,,HTTP,Elite,55,1140,2026-04-07T07:33:38Z
185.148.107.87,80,RU,Russian Federation,,,,,,HTTP,Transparent,58,40,2026-04-07T07:28:59Z
109.71.241.67,1080,RU,Russian Federation,,,,,,SOCKS5,Elite,86,480,2026-04-07T07:27:37Z
158.160.215.167,8125,RU,Russian Federation,Moscow,,,,,HTTP|HTTPS,Elite,60,1420,2026-04-07T07:23:18Z
158.160.215.167,8124,RU,Russian Federation,Moscow,,,,,HTTP|HTTPS,Elite,58,220,2026-04-07T07:03:29Z
31.12.75.145,80,RU,Russian Federation,,,,,,HTTP,Transparent,86,40,2026-04-07T05:53:36Z
158.160.215.167,8127,RU,Russian Federation,Moscow,,,,,HTTP|HTTPS,Elite,59,1680,2026-04-07T05:25:19Z
185.148.107.47,80,RU,Russian Federation,,,,,,HTTP,Transparent,61,20,2026-04-07T05:05:28Z
185.148.107.255,80,RU,Russian Federation,,,,,,HTTP,Transparent,66,40,2026-04-07T05:05:06Z
185.148.107.17,80,RU,Russian Federation,,,,,,HTTP,Transparent,50,40,2026-04-07T04:42:30Z
147.45.219.89,1080,RU,Russian Federation,Moscow,,,,,SOCKS5,Elite,61,140,2026-04-07T03:02:24Z
45.67.215.203,80,RU,Russian Federation,,,,,,HTTP,Transparent,78,40,2026-04-07T02:42:25Z
77.110.113.24,40000,RU,Russian Federation,Moscow,,,,,SOCKS4|SOCKS5,Elite,62,5100,2026-04-07T02:20:01Z
185.148.107.24,80,RU,Russian Federation,,,,,,HTTP,Transparent,69,20,2026-04-07T02:11:00Z
158.160.215.167,8126,RU,Russian Federation,Moscow,,,,,HTTP|HTTPS,Elite,57,780,2026-04-07T00:13:48Z
185.148.105.134,80,RU,Russian Federation,,,,,,HTTP,Transparent,56,20,2026-04-06T22:06:47Z
185.148.107.58,80,RU,Russian Federation,,,,,,HTTP,Transparent,53,20,2026-04-06T20:56:59Z
185.148.107.127,80,RU,Russian Federation,,,,,,HTTP,Transparent,60,20,2026-04-06T20:26:38Z
31.128.41.253,28080,RU,Russian Federation,St Petersburg,,,,,SOCKS5,Elite,48,1240,2026-04-06T17:45:24Z
147.45.60.34,1082,RU,Russian Federation,,,,,,HTTPS|SOCKS4,Elite,15,1740,2026-04-06T15:44:15Z
185.148.107.240,80,RU,Russian Federation,,,,,,HTTP,Transparent,72,40,2026-04-06T13:25:06Z
185.148.107.195,80,RU,Russian Federation,,,,,,HTTP,Transparent,57,20,2026-04-06T11:36:56Z
185.148.107.145,80,RU,Russian Federation,,,,,,HTTP,Transparent,69,20,2026-04-06T10:35:59Z
45.8.211.68,80,RU,Russian Federation,,,,,,HTTP,Transparent,59,20,2026-04-06T09:23:22Z
37.18.73.60,5566,RU,Russian Federation,,,,,,SOCKS5,Elite,87,5100,2026-04-06T08:39:35Z
185.148.107.49,80,RU,Russian Federation,,,,,,HTTP,Transparent,68,20,2026-04-06T08:23:50Z
45.8.211.64,80,RU,Russian Federation,,,,,,HTTP,Transparent,87,20,2026-04-06T08:10:12Z
45.8.211.90,80,RU,Russian Federation,,,,,,HTTP,Transparent,87,20,2026-04-06T07:49:17Z
213.226.126.100,1080,RU,Russian Federation,St Petersburg,,,,,SOCKS4,Elite,35,660,2026-04-06T06:42:53Z
94.131.121.131,3128,RU,Russian Federation,Moscow,,,,,HTTP|HTTPS,Elite,38,4720,2026-04-06T06:06:52Z
46.161.4.153,3333,RU,Russian Federation,St Petersburg,,,,,HTTP,Elite,70,2820,2026-04-06T05:26:21Z
188.225.33.99,8382,RU,Russian Federation,St Petersburg,,,,,HTTP,Transparent,6,5100,2026-04-06T02:46:06Z
45.90.216.103,8080,RU,Russian Federation,Moscow,,,,,HTTP,Transparent,10,1300,2026-04-06T02:07:08Z
79.174.12.190,80,RU,Russian Federation,,,,,,HTTP,Elite,9,60,2026-04-05T23:42:19Z
82.148.13.136,80,RU,Russian Federation,Moscow,,,,,HTTP,Elite,5,80,2026-04-05T21:02:30Z
31.12.75.87,80,RU,Russian Federation,,,,,,HTTP,Transparent,54,20,2026-04-05T21:01:47Z
45.8.211.33,80,RU,Russian Federation,,,,,,HTTP,Transparent,79,20,2026-04-05T12:18:17Z
95.213.217.168,52004,RU,Russian Federation,St Petersburg,,,,,HTTP,Transparent,68,100,2026-04-05T11:44:14Z
37.79.248.25,80,RU,Russian Federation,Pervouralsk,,,,,HTTP,Elite,6,120,2026-04-05T10:49:12Z
46.8.60.2,1080,RU,Russian Federation,Krasnodar,,,,,SOCKS4,Elite,11,3200,2026-04-05T10:42:21Z
