ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
188.239.43.6,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,71,1060,2026-04-07T08:09:15Z
159.223.71.162,8080,SG,Singapore,Singapore,,,,,HTTP,Elite,83,1940,2026-04-07T08:06:56Z
206.238.239.247,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,53,20,2026-04-07T07:54:28Z
206.238.236.54,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,57,40,2026-04-07T07:51:21Z
167.103.115.102,8800,SG,Singapore,Singapore,,,,,HTTP,Elite,99,800,2026-04-07T07:50:29Z
156.146.56.231,8081,SG,Singapore,Singapore,,,,,HTTP,Elite,81,780,2026-04-07T07:35:56Z
167.71.196.28,8080,SG,Singapore,Singapore,,,,,HTTP,Elite,70,1100,2026-04-07T07:35:24Z
206.238.238.12,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,56,20,2026-04-07T07:34:38Z
97.74.87.226,80,SG,Singapore,Singapore,,,,,HTTP,Elite,75,1080,2026-04-07T07:33:23Z
8.219.97.248,80,SG,Singapore,,,,,,HTTP,Elite,67,2460,2026-04-07T07:33:03Z
8.219.77.141,80,SG,Singapore,,,,,,HTTP,Anonymous,98,1340,2026-04-07T07:32:55Z
159.223.53.194,1080,SG,Singapore,Singapore,,,,,SOCKS5,Elite,89,1600,2026-04-07T07:32:51Z
103.253.145.138,6980,SG,Singapore,Singapore,,,,,HTTP,Elite,53,5100,2026-04-07T07:32:24Z
172.237.73.24,80,SG,Singapore,Singapore,,,,,HTTP,Elite,66,1400,2026-04-07T07:32:04Z
51.79.135.131,8080,SG,Singapore,Singapore,,,,,HTTP,Anonymous,78,1180,2026-04-07T07:31:00Z
156.146.56.231,8082,SG,Singapore,Singapore,,,,,HTTP,Elite,79,800,2026-04-07T07:29:01Z
206.238.239.200,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,66,40,2026-04-07T07:27:24Z
154.194.12.47,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,66,20,2026-04-07T07:25:48Z
206.238.239.38,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,67,40,2026-04-07T07:24:54Z
206.238.238.223,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,68,20,2026-04-07T07:24:00Z
129.150.55.165,1080,SG,Singapore,Loyang,,,,,SOCKS5,Elite,96,1300,2026-04-07T07:23:30Z
206.238.236.103,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,51,20,2026-04-07T07:23:05Z
154.194.12.4,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,53,20,2026-04-07T06:56:42Z
206.238.236.254,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,69,20,2026-04-07T06:29:09Z
206.238.237.220,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,59,20,2026-04-07T06:10:17Z
47.84.126.81,443,SG,Singapore,,,,,,SOCKS4|SOCKS5,Elite,20,3020,2026-04-07T06:00:29Z
206.238.238.252,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,60,40,2026-04-07T05:41:32Z
206.238.237.40,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,51,20,2026-04-07T05:33:42Z
206.238.237.46,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,71,20,2026-04-07T05:32:25Z
143.42.66.91,80,SG,Singapore,Singapore,,,,,HTTP,Elite,73,2140,2026-04-07T05:31:17Z
206.238.236.244,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,66,20,2026-04-07T05:16:50Z
206.238.237.252,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,71,40,2026-04-07T05:06:15Z
206.238.236.248,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,66,40,2026-04-07T04:46:02Z
206.238.237.251,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,69,20,2026-04-07T04:36:08Z
206.238.238.143,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,56,20,2026-04-07T04:36:07Z
206.238.238.251,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,56,20,2026-04-07T03:34:05Z
206.238.236.10,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,60,40,2026-04-07T03:13:54Z
206.238.236.252,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,70,20,2026-04-07T03:00:21Z
154.194.12.109,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,63,20,2026-04-07T01:42:04Z
206.238.238.1,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,61,20,2026-04-07T01:29:05Z
138.199.25.13,3905,SG,Singapore,Singapore,,,,,SOCKS5,Elite,15,1520,2026-04-07T01:28:08Z
206.238.238.247,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,53,20,2026-04-07T01:27:59Z
206.238.238.248,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,52,20,2026-04-07T01:20:16Z
154.194.12.13,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,73,20,2026-04-07T00:45:54Z
47.74.226.8,5001,SG,Singapore,Singapore,,,,,HTTP,Elite,13,880,2026-04-07T00:40:13Z
154.194.12.96,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,64,20,2026-04-07T00:13:45Z
206.238.239.248,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,53,20,2026-04-06T22:29:11Z
154.194.12.250,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,70,20,2026-04-06T22:22:36Z
154.194.12.248,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,53,40,2026-04-06T21:48:35Z
206.238.237.254,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,72,20,2026-04-06T21:42:50Z
206.238.238.124,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,51,20,2026-04-06T21:36:26Z
206.238.239.61,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,59,20,2026-04-06T21:26:12Z
206.238.239.252,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,60,1060,2026-04-06T20:58:57Z
206.238.239.250,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,60,20,2026-04-06T20:45:27Z
206.238.236.11,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,67,20,2026-04-06T20:24:15Z
23.247.136.254,80,SG,Singapore,Singapore,,,,,HTTP,Elite,84,680,2026-04-06T20:09:21Z
206.238.237.244,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,68,20,2026-04-06T19:05:00Z
206.238.236.79,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,66,20,2026-04-06T18:29:09Z
206.238.237.165,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,55,20,2026-04-06T18:26:20Z
154.194.12.207,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,59,20,2026-04-06T18:20:21Z
206.238.239.249,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,52,40,2026-04-06T18:13:51Z
154.194.12.168,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,52,20,2026-04-06T18:07:12Z
154.194.12.166,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,65,20,2026-04-06T17:21:31Z
138.199.25.13,3901,SG,Singapore,Singapore,,,,,SOCKS5,Elite,17,1220,2026-04-06T15:44:08Z
206.238.237.249,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,68,20,2026-04-06T13:56:39Z
206.238.238.249,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,53,20,2026-04-06T13:56:07Z
152.42.201.82,1080,SG,Singapore,Singapore,,,,,SOCKS5,Elite,29,5100,2026-04-06T13:17:15Z
47.236.53.35,1145,SG,Singapore,,,,,,SOCKS5,Elite,16,4240,2026-04-06T13:16:59Z
206.238.238.250,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,57,20,2026-04-06T09:04:39Z
206.238.237.239,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,66,20,2026-04-06T09:00:49Z
206.238.237.153,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,58,20,2026-04-06T09:00:49Z
206.238.236.249,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,53,40,2026-04-06T08:26:26Z
206.238.237.253,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,70,20,2026-04-06T07:04:09Z
165.22.110.253,1080,SG,Singapore,Singapore,,,,,SOCKS4,Elite,18,1400,2026-04-06T04:33:07Z
206.238.236.250,80,SG,Singapore,Singapore,,,,,HTTP,Transparent,65,20,2026-04-06T01:27:09Z
