ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
193.32.177.152,1080,US,United States,Secaucus,,,,,SOCKS5,Elite,49,5100,2026-08-03T05:46:25Z
172.67.177.111,80,US,United States,,,,,,HTTP,Anonymous,93,0,2026-08-03T05:46:04Z
172.67.213.134,80,US,United States,,,,,,HTTP,Anonymous,91,0,2026-08-03T05:46:04Z
172.67.192.47,80,US,United States,,,,,,HTTP,Anonymous,90,0,2026-08-03T05:46:04Z
159.112.235.125,80,US,United States,,,,,,HTTP,Anonymous,87,20,2026-08-03T05:46:04Z
172.67.218.192,80,US,United States,,,,,,HTTP,Anonymous,91,0,2026-08-03T05:46:04Z
66.235.200.151,80,US,United States,,,,,,HTTP,Anonymous,87,20,2026-08-03T05:46:04Z
159.246.55.7,80,US,United States,,,,,,HTTP,Anonymous,100,20,2026-08-03T05:46:04Z
66.81.247.12,80,US,United States,,,,,,HTTP,Anonymous,100,20,2026-08-03T05:46:04Z
172.67.164.202,80,US,United States,,,,,,HTTP,Anonymous,89,0,2026-08-03T05:46:03Z
172.64.148.181,80,US,United States,San Francisco,,,,,HTTP,Anonymous,81,20,2026-08-03T05:46:03Z
172.67.179.193,80,US,United States,,,,,,HTTP,Anonymous,91,20,2026-08-03T05:46:03Z
172.64.80.36,80,US,United States,,,,,,HTTP,Anonymous,88,20,2026-08-03T05:46:03Z
172.67.180.47,80,US,United States,,,,,,HTTP,Anonymous,92,0,2026-08-03T05:46:03Z
160.153.1.237,80,US,United States,,,,,,HTTP,Anonymous,90,20,2026-08-03T05:46:03Z
103.21.244.183,80,US,United States,Ashburn,,,,,HTTP,Anonymous,90,20,2026-08-03T05:46:03Z
172.67.181.105,80,US,United States,,,,,,HTTP,Anonymous,92,0,2026-08-03T05:46:03Z
172.67.167.108,80,US,United States,,,,,,HTTP,Anonymous,92,0,2026-08-03T05:46:03Z
172.67.167.214,80,US,United States,,,,,,HTTP,Anonymous,92,0,2026-08-03T05:46:03Z
170.114.45.161,80,US,United States,,,,,,HTTP,Anonymous,100,20,2026-08-03T05:46:03Z
209.46.30.100,80,US,United States,,,,,,HTTP,Anonymous,100,20,2026-08-03T05:46:03Z
160.153.0.246,80,US,United States,,,,,,HTTP,Anonymous,100,20,2026-08-03T05:46:03Z
199.34.229.155,80,US,United States,,,,,,HTTP,Anonymous,100,20,2026-08-03T05:46:03Z
172.67.177.234,80,US,United States,,,,,,HTTP,Anonymous,92,20,2026-08-03T05:46:02Z
172.67.190.16,80,US,United States,,,,,,HTTP,Anonymous,90,0,2026-08-03T05:46:02Z
172.67.70.207,80,US,United States,,,,,,HTTP,Anonymous,89,20,2026-08-03T05:46:02Z
103.21.244.209,80,US,United States,Ashburn,,,,,HTTP,Anonymous,91,20,2026-08-03T05:46:02Z
172.67.220.13,80,US,United States,,,,,,HTTP,Anonymous,88,20,2026-08-03T05:46:02Z
205.233.181.166,80,US,United States,,,,,,HTTP,Anonymous,100,20,2026-08-03T05:46:02Z
108.170.12.14,80,US,United States,Phoenix,,,,,HTTP,Elite,19,2760,2026-08-03T05:45:21Z
203.161.52.193,80,US,United States,,,,,,HTTP,Elite,67,380,2026-08-03T05:45:13Z
172.67.180.196,80,US,United States,,,,,,HTTP,Anonymous,91,20,2026-08-03T05:45:05Z
141.193.213.5,80,US,United States,,,,,,HTTP,Anonymous,89,20,2026-08-03T05:45:04Z
