ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
160.123.255.3,80,ZA,South Africa,,,,,,HTTP,Transparent,80,40,2026-04-07T02:27:58Z
102.177.176.20,80,ZA,South Africa,,,,,,HTTP,Transparent,66,40,2026-04-06T21:57:34Z
160.123.255.42,80,ZA,South Africa,,,,,,HTTP,Transparent,54,20,2026-04-06T18:32:44Z
160.123.255.5,80,ZA,South Africa,,,,,,HTTP,Transparent,77,20,2026-04-06T13:52:43Z
102.177.176.24,80,ZA,South Africa,,,,,,HTTP,Transparent,67,20,2026-04-06T11:06:22Z
206.238.236.36,80,ZA,South Africa,Midrand,,,,,HTTP,Transparent,80,20,2026-04-06T07:47:27Z
160.123.255.71,80,ZA,South Africa,,,,,,HTTP,Transparent,45,20,2026-04-06T00:57:59Z
160.123.255.12,80,ZA,South Africa,,,,,,HTTP,Transparent,57,20,2026-04-05T22:27:38Z
102.177.176.192,80,ZA,South Africa,,,,,,HTTP,Transparent,28,20,2026-04-05T19:12:00Z
160.123.255.6,80,ZA,South Africa,,,,,,HTTP,Transparent,81,20,2026-04-05T15:41:54Z
