ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
188.114.99.89,80,ZZ,Unknown,,,,,,HTTP,Anonymous,75,20,2026-07-02T06:02:05Z
141.101.123.69,80,ZZ,Unknown,,,,,,HTTP,Anonymous,90,20,2026-07-02T06:02:03Z
172.67.180.94,80,ZZ,Unknown,,,,,,HTTP,Anonymous,66,20,2026-07-02T06:02:03Z
172.67.74.70,80,ZZ,Unknown,,,,,,HTTP,Anonymous,78,20,2026-07-02T06:02:03Z
173.245.58.88,80,ZZ,Unknown,,,,,,HTTP,Anonymous,78,20,2026-07-02T06:02:03Z
172.67.69.247,80,ZZ,Unknown,,,,,,HTTP,Anonymous,76,20,2026-07-02T06:02:03Z
141.101.122.19,80,ZZ,Unknown,,,,,,HTTP,Anonymous,87,20,2026-07-02T06:02:03Z
172.66.40.157,80,ZZ,Unknown,,,,,,HTTP,Anonymous,78,20,2026-07-02T06:02:03Z
141.101.120.130,80,ZZ,Unknown,,,,,,HTTP,Anonymous,90,20,2026-07-02T06:02:03Z
141.101.122.64,80,ZZ,Unknown,,,,,,HTTP,Anonymous,89,20,2026-07-02T06:02:03Z
172.67.74.247,80,ZZ,Unknown,,,,,,HTTP,Anonymous,66,20,2026-07-02T06:02:03Z
172.64.146.53,80,ZZ,Unknown,,,,,,HTTP,Anonymous,67,0,2026-07-02T06:02:03Z
172.67.82.57,80,ZZ,Unknown,,,,,,HTTP,Anonymous,69,20,2026-07-02T06:02:02Z
141.101.121.9,80,ZZ,Unknown,,,,,,HTTP,Anonymous,90,20,2026-07-02T06:02:02Z
141.101.120.181,80,ZZ,Unknown,,,,,,HTTP,Anonymous,89,20,2026-07-02T06:02:02Z
188.114.96.196,80,ZZ,Unknown,,,,,,HTTP,Anonymous,76,0,2026-07-02T06:02:02Z
141.101.114.26,80,ZZ,Unknown,,,,,,HTTP,Anonymous,94,20,2026-07-02T06:02:02Z
172.64.80.82,80,ZZ,Unknown,,,,,,HTTP,Anonymous,66,0,2026-07-02T06:02:02Z
173.245.59.68,80,ZZ,Unknown,,,,,,HTTP,Anonymous,71,20,2026-07-02T06:02:02Z
141.101.123.45,80,ZZ,Unknown,,,,,,HTTP,Anonymous,90,20,2026-07-02T06:02:02Z
141.101.122.123,80,ZZ,Unknown,,,,,,HTTP,Anonymous,90,20,2026-07-02T06:02:02Z
172.64.33.100,80,ZZ,Unknown,,,,,,HTTP,Anonymous,71,20,2026-07-02T06:02:02Z
141.101.121.209,80,ZZ,Unknown,,,,,,HTTP,Anonymous,90,20,2026-07-02T06:02:02Z
141.101.122.240,80,ZZ,Unknown,,,,,,HTTP,Anonymous,90,20,2026-07-02T06:02:02Z
