ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
158.160.215.167,8124,RU,Russian Federation,Moscow,,,,,HTTPS,Elite,58,3500,2026-04-10T04:50:04Z
158.160.215.167,8126,RU,Russian Federation,Moscow,,,,,HTTP|HTTPS,Elite,58,3400,2026-04-10T04:49:55Z
158.160.215.167,8125,RU,Russian Federation,Moscow,,,,,HTTPS,Elite,60,1580,2026-04-10T04:49:29Z
185.114.73.2,1080,ES,Spain,Madrid,,,,,HTTPS,Elite,36,3680,2026-04-10T04:29:07Z
20.24.43.214,80,SG,Singapore,Singapore,,,,,HTTPS,Elite,78,2560,2026-04-10T04:25:57Z
8.209.239.31,30000,JP,Japan,Tokyo,,,,,HTTP|HTTPS,Elite,69,4320,2026-04-10T04:25:45Z
20.24.43.214,8123,SG,Singapore,Singapore,,,,,HTTPS,Elite,85,1520,2026-04-10T04:24:14Z
180.125.216.109,8118,CN,China,,,,,,HTTP|HTTPS,Elite,29,2240,2026-04-10T04:24:10Z
1.231.81.166,3128,KR,Korea,Gangbuk-gu,,,,,HTTP|HTTPS,Transparent,78,2500,2026-04-10T04:24:08Z
158.160.215.167,8127,RU,Russian Federation,Moscow,,,,,HTTP|HTTPS,Elite,60,600,2026-04-10T04:24:07Z
