ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
109.172.55.177,1082,FR,France,Paris,,,,,SOCKS5,Elite,67,620,2026-09-17T07:33:00Z
184.181.217.220,4145,US,United States,,,,,,SOCKS4|SOCKS5,Elite,57,420,2026-09-17T07:32:55Z
184.181.217.210,4145,US,United States,,,,,,SOCKS4|SOCKS5,Elite,64,400,2026-09-17T07:32:55Z
98.178.72.21,10919,US,United States,,,,,,SOCKS4|SOCKS5,Elite,75,400,2026-09-17T07:32:55Z
98.191.0.47,4145,US,United States,Tempe,,,,,SOCKS4|SOCKS5,Elite,92,400,2026-09-17T07:32:55Z
24.249.199.12,4145,US,United States,,,,,,SOCKS4|SOCKS5,Elite,65,420,2026-09-17T07:32:55Z
69.61.200.104,36181,US,United States,Cincinnati,,,,,SOCKS4|SOCKS5,Elite,85,520,2026-09-17T07:32:55Z
216.68.128.121,4145,US,United States,Cincinnati,,,,,SOCKS4|SOCKS5,Elite,90,800,2026-09-17T07:32:55Z
74.119.147.209,4145,US,United States,,,,,,SOCKS4|SOCKS5,Elite,61,380,2026-09-17T07:32:55Z
31.220.40.59,5080,NL,Netherlands,,,,,,SOCKS4|SOCKS5,Elite,48,540,2026-09-17T07:32:55Z
192.252.215.5,16137,CA,Canada,Toronto,,,,,SOCKS4|SOCKS5,Elite,65,380,2026-09-17T07:32:54Z
